,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_observable_type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
14,14.481953716278076,2.468328467000394,0.8090458869934082,0.09325007595136958,32,0.01,1,1,full,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'full'}",0.0010964912280701754,0.0010976948408342481,0.003293084522502744,0.0021953896816684962,0.0021953896816684962,0.0019756099909488322,0.0008216970459049825,25,,,,,,,,1
15,14.224601554870606,0.5319492866426687,0.8358762264251709,0.06346745634380734,32,0.01,1,5,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'single'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.0021953896816684962,0.0017560710227819826,0.0005380534090005714,31,,,,,,,,1
16,15.201638889312743,0.8406664218730012,0.9204771995544434,0.07630774722120809,32,0.01,1,5,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'half'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.0021953896816684962,0.0017560710227819826,0.0005380534090005714,31,,,,,,,,1
17,14.838332748413086,1.0665257908016208,0.8963239192962646,0.15847427348656282,32,0.01,1,5,full,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'full'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.0021953896816684962,0.0017560710227819826,0.0005380534090005714,31,,,,,,,,1
18,15.062253141403199,0.8458852935358623,0.9818658828735352,0.05913207223533213,32,0.01,1,10,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'single'}",0.11732456140350878,0.03293084522502744,0.003293084522502744,0.005488474204171241,0.021953896816684963,0.036198172434379026,0.042002133702980074,16,,,,,,,,1
19,15.21938362121582,1.1783143619476888,1.0346718788146974,0.0498349189445767,32,0.01,1,10,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'half'}",0.11732456140350878,0.03293084522502744,0.003293084522502744,0.005488474204171241,0.021953896816684963,0.036198172434379026,0.042002133702980074,16,,,,,,,,1
20,15.04140920639038,0.8219924242940284,1.0022340774536134,0.05978658638444859,32,0.01,1,10,full,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'full'}",0.11732456140350878,0.03293084522502744,0.003293084522502744,0.005488474204171241,0.021953896816684963,0.036198172434379026,0.042002133702980074,16,,,,,,,,1
21,16.868589210510255,1.0829072007878724,1.1212469577789306,0.06596653231492035,32,0.01,1,15,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'single'}",0.01644736842105263,0.9934138309549945,0.01646542261251372,0.9055982436882547,0.991218441273326,0.5846286613900282,0.46499064169089604,4,,,,,,,,1
22,16.760033750534056,0.938510608461896,1.1523003101348877,0.13686062455297876,32,0.01,1,15,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'half'}",0.01644736842105263,0.9934138309549945,0.01646542261251372,0.9055982436882547,0.991218441273326,0.5846286613900282,0.46499064169089604,4,,,,,,,,1
23,16.908709144592287,0.9080534449031997,1.2248226642608642,0.07605777831146882,32,0.01,1,15,full,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'full'}",0.01644736842105263,0.9934138309549945,0.01646542261251372,0.9055982436882547,0.991218441273326,0.5846286613900282,0.46499064169089604,4,,,,,,,,1
24,13.727333927154541,0.9736774852208491,1.0068031787872314,0.06426021712706445,32,0.1,1,1,single,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'single'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.0021953896816684962,0.0017560710227819826,0.0005380534090005714,31,,,,,,,,1
25,14.044063711166382,0.9524555417578893,0.8152971267700195,0.09619534375079028,32,0.1,1,1,half,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'half'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.0021953896816684962,0.0017560710227819826,0.0005380534090005714,31,,,,,,,,1
26,14.303057432174683,0.7878280850372946,0.7570500850677491,0.05509751953766516,32,0.1,1,1,full,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'full'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.0021953896816684962,0.0017560710227819826,0.0005380534090005714,31,,,,,,,,1
27,15.016047143936158,1.1092113984604437,0.9007513523101807,0.1176258319376967,32,0.1,1,5,single,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'single'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.003293084522502744,0.0019756099909488322,0.0008216970459049825,25,,,,,,,,1
28,13.860983037948609,0.5105301299912818,0.9170298099517822,0.10391539780270455,32,0.1,1,5,half,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'half'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.003293084522502744,0.0019756099909488322,0.0008216970459049825,25,,,,,,,,1
29,13.749837589263915,0.7317502233235325,0.8763742446899414,0.06298069252759295,32,0.1,1,5,full,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'full'}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.003293084522502744,0.0019756099909488322,0.0008216970459049825,25,,,,,,,,1
30,15.080177831649781,0.6110443980494183,1.0317270278930664,0.04464725671027437,32,0.1,1,10,single,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'single'}",0.993421052631579,0.9549945115257958,0.005488474204171241,0.013172338090010977,0.9407244785949506,0.5815601710093016,0.46754784157383866,7,,,,,,,,1
31,15.201153230667114,0.7934307859013265,1.012832021713257,0.046269256961573996,32,0.1,1,10,half,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'half'}",0.993421052631579,0.9549945115257958,0.005488474204171241,0.013172338090010977,0.9407244785949506,0.5815601710093016,0.46754784157383866,7,,,,,,,,1
32,15.506093645095826,0.8673270194489874,1.1848959922790527,0.23495093914327933,32,0.1,1,10,full,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'full'}",0.993421052631579,0.9549945115257958,0.005488474204171241,0.013172338090010977,0.9407244785949506,0.5815601710093016,0.46754784157383866,7,,,,,,,,1
33,16.637857151031493,0.7825539711205101,1.1915022373199462,0.1122325895678317,32,0.1,1,15,single,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'single'}",0.006578947368421052,0.969264544456641,0.8518111964873765,0.9978046103183315,0.9978046103183315,0.7646527817898202,0.38284671904065054,1,,,,,,,,1
34,15.908256387710571,0.3523682071601222,0.8859200477600098,0.13184160392074853,32,0.1,1,15,half,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'half'}",0.006578947368421052,0.969264544456641,0.8518111964873765,0.9978046103183315,0.9978046103183315,0.7646527817898202,0.38284671904065054,1,,,,,,,,1
35,12.01742434501648,1.3965744592495735,0.6093507766723633,0.0323520923357487,32,0.1,1,15,full,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'full'}",0.006578947368421052,0.969264544456641,0.8518111964873765,0.9978046103183315,0.9978046103183315,0.7646527817898202,0.38284671904065054,1,,,,,,,,1
